Company Name,progress1,progress2,progress3,progress4,progress5,progress6,progress1-V2,progress2-V2,progress3-V2,progress4-V2,progress5-V2,progress6-V2,Website Screenshot 1-3
Talent International Institute,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/0h,https://recrowdly.s3.amazonaws.com/screenshot/tii_ac_nz_company_screenshot.png
The Argyle Network,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,https://recrowdly.s3.amazonaws.com/screenshot/argyle-network_com_company_screenshot.png
Digital Waffle,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,Not Available
EstateSales.org,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,https://recrowdly.s3.amazonaws.com/screenshot/avanceservices_de_company_screenshot.png
Imaging Endpoints,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,/0h,https://recrowdly.s3.amazonaws.com/screenshot/datacose_com_company_screenshot.png
GovAssist,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/re-align_co_company_screenshot.png
Modus Projects,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/modusprojects_com_au_company_screenshot.png
Gridiron IT,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/gridironit_com_company_screenshot.png
Vanir,/581.53h,/581.53h,/872.29h,/872.29h,/872.29h,/872.29h,/663.2h,/663.2h,/994.8h,/994.8h,/994.8h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/megansoft_com_company_screenshot.png
Radiansys,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/872.29h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/nucleusteq_com_company_screenshot.png
Tuition Education Platform,/0.97h,/0.97h,/90.46h,/178.33h,/710.75h,/872.29h,/1.11h,/1.11h,/103.16h,/203.38h,/810.58h,/994.8h,Not Available
FlexJobs,/872.29h,/872.29h,/872.29h,/872.29h,/697.83h,/697.83h,/994.8h,/994.8h,/994.8h,/994.8h,/795.84h,/795.84h,https://recrowdly.s3.amazonaws.com/screenshot/acolyte_ws_company_screenshot.png
4SiGHT Research & Analytics,/872.29h,/872.29h,/775.37h,/678.45h,/678.45h,/678.45h,/994.8h,/994.8h,/884.27h,/773.73h,/773.73h,/773.73h,Not Available
The CLASS Consulting Group,/713.69h,/317.2h,/317.2h,/555.09h,/872.29h,/317.2h,/813.93h,/361.75h,/361.75h,/633.05h,/994.8h,/361.75h,https://recrowdly.s3.amazonaws.com/screenshot/wiseq_net_company_screenshot.png
TECHNIX INDIA,/872.29h,/785.06h,/785.06h,/785.06h,/610.6h,/610.6h,/994.8h,/895.32h,/895.32h,/895.32h,/696.36h,/696.36h,Not Available
Powerdata Group Consulting,/313.13h,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,https://recrowdly.s3.amazonaws.com/screenshot/powerdatagroup_com_company_screenshot.png
Cisco,/190.81h,/872.29h,/872.29h,/190.81h,/286.22h,/395.26h,/217.61h,/994.8h,/994.8h,/217.61h,/326.42h,/450.77h,https://recrowdly.s3.amazonaws.com/screenshot/motektech_com_company_screenshot.png
Quorum Group,/820.98h,/820.98h,/820.98h,/820.98h,/820.98h,/872.29h,/936.28h,/936.28h,/936.28h,/936.28h,/936.28h,/994.8h,Not Available
VANLOBENSELS-REMBEROCK FOUNDATION,/674.04h,/674.04h,/713.69h,/753.34h,/792.99h,/872.29h,/768.71h,/768.71h,/813.93h,/859.15h,/904.36h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/vlsrr_org_company_screenshot.png
TEC Partners,/741.45h,/741.45h,/741.45h,/741.45h,/741.45h,/872.29h,/845.58h,/845.58h,/845.58h,/845.58h,/845.58h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/tecpartners_co_uk_company_screenshot.png
Red Wing Shoes,/872.29h,/718.36h,/718.36h,/718.36h,/718.36h,/718.36h,/994.8h,/819.25h,/819.25h,/819.25h,/819.25h,/819.25h,Not Available
Bond Software,/613.83h,/613.83h,/581.53h,/581.53h,/710.75h,/872.29h,/700.04h,/700.04h,/663.2h,/663.2h,/810.58h,/994.8h,https://recrowdly.s3.amazonaws.com/screenshot/bond_software_company_screenshot.png
PayPal,/872.29h,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,https://recrowdly.s3.amazonaws.com/screenshot/wodboard_com_company_screenshot.png
The James Agency,/872.29h,/872.29h,/872.29h,/872.29h,/741.45h,/741.45h,/994.8h,/994.8h,/994.8h,/994.8h,/845.58h,/845.58h,Not Available
Cubalex,/872.29h,/872.29h,/830.75h,/830.75h,/830.75h,/706.14h,/994.8h,/994.8h,/947.43h,/947.43h,/947.43h,/805.31h,https://recrowdly.s3.amazonaws.com/screenshot/cubalex_org_company_screenshot.png
U.S. Navy,/743.06h,/839.98h,/839.98h,/872.29h,/872.29h,/872.29h,/847.42h,/957.96h,/957.96h,/994.8h,/994.8h,/994.8h,Not Available
Vyrill,/316.05h,/872.29h,/290.76h,/568.88h,/290.76h,/303.41h,/360.43h,/994.8h,/331.6h,/648.78h,/331.6h,/346.02h,https://recrowdly.s3.amazonaws.com/screenshot/vyrill_com_company_screenshot.png
Interface Agency,/475.79h,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,/nanh,https://recrowdly.s3.amazonaws.com/screenshot/interface-agency_com_company_screenshot.png
Upgrade-Inc,/475.79h,/634.39h,/618.53h,/713.69h,/872.29h,/158.6h,/542.62h,/723.49h,/705.4h,/813.93h,/994.8h,/180.87h,https://recrowdly.s3.amazonaws.com/screenshot/upgrade-inc_com_company_screenshot.png
Archer,/475.79h,/634.39h,/618.53h,/713.69h,/872.29h,/158.6h,/542.62h,/723.49h,/705.4h,/813.93h,/994.8h,/180.87h,https://recrowdly.s3.amazonaws.com/screenshot/wearearcher_com_company_screenshot.png
